,,,count,mean,mean,mean,sum,sum,sum,Transport
,,,Severity,Distance(mi),Duration_Time,Severity,Distance(mi),Duration_Time,Severity,Transport
State,year,month,,,,,,,,
AZ,16,11,483,1.0686666666666675,360.6317805383023,2.559006211180124,516.1660000000004,174185.15,1236,5170.0
AZ,16,12,429,1.37,360.59374514374514,2.44988344988345,587.73,154694.71666666667,1051,6037.0
AZ,17,1,305,0.9964852459016393,360.3546994535519,2.439344262295082,303.928,109908.18333333333,744,5633.0
AZ,17,2,294,1.2382993197278909,360.03849206349213,2.5816326530612246,364.05999999999995,105851.31666666668,759,5496.0
AZ,17,3,399,0.9616190476190468,359.9480367585631,2.5864661654135337,383.6859999999997,143619.26666666666,1032,6038.0
AZ,17,4,266,1.0932293233082706,360.23822055137845,2.6052631578947367,290.799,95823.36666666667,693,6388.0
AZ,17,5,438,1.0335799086757997,360.9429604261796,2.7009132420091326,452.7080000000003,158093.01666666666,1183,6344.0
AZ,17,6,316,1.3772974683544301,360.0,2.6835443037974684,435.22599999999994,113760.0,848,6104.0
AZ,17,7,518,0.6484691120474192,225.22635135135135,2.3803088803088803,335.90700004056316,116667.25,1233,5162.0
AZ,17,8,2087,0.19291614750254857,98.61603577703248,2.257307139434595,402.6159998378189,205811.66666666677,4711,4752.0
AZ,17,9,2298,0.23667754593834983,81.6664926022628,2.2589208006962576,543.8850005663279,187669.59999999992,5191,4975.0
AZ,17,10,1790,0.2971262581291835,79.10574487895717,2.33463687150838,531.8560020512384,141599.28333333333,4179,5470.0
AZ,17,11,1873,0.2462018170645888,61.31218188289731,2.2520021356113187,461.1360033619748,114837.71666666667,4218,5318.0
AZ,17,12,1745,0.29441031518823046,92.24217765042982,2.2836676217765044,513.7460000034622,160962.60000000003,3985,6141.0
AZ,18,1,2167,0.23238993963487478,89.10339178587914,2.3073373327180433,503.58899918877364,193087.0500000001,5000,5717.0
AZ,18,2,1722,0.30954413565362493,98.72867789392177,2.3095238095238093,533.0350015955421,170010.7833333333,3977,5506.0
AZ,18,3,1634,0.3009779686157778,98.58327213382296,2.3115055079559363,491.7980007181809,161085.0666666667,3777,5973.0
AZ,18,4,1706,0.3699595545875743,100.55325322391563,2.3640093786635403,631.1510001264018,171543.85000000006,4033,6401.0
AZ,18,5,1938,0.2612177501998153,86.76519607843143,2.277089783281734,506.2399998872421,168150.9500000001,4413,6351.0
AZ,18,6,1629,0.3238219782541881,99.38635154491503,2.3210558624923268,527.5060025760724,161900.36666666658,3781,6027.0
AZ,18,7,1638,0.23602869458905262,59.22370777370772,2.2875457875457874,386.6150017368682,97008.43333333325,3747,5409.0
AZ,18,8,2398,0.2671376146773818,45.807819015846505,2.2235195996663886,640.5959999963616,109847.14999999992,5332,5121.0
AZ,18,9,1784,0.16183183925425612,31.74468423019441,2.2780269058295963,288.7080012295929,56632.51666666682,4064,4871.0
AZ,18,10,1925,0.3044877919176953,33.87343722943718,2.2919480519480517,586.1389994415634,65206.36666666657,4412,5626.0
AZ,18,11,2252,0.19041340991263156,36.60241267021907,2.2984014209591472,428.8109991232463,82428.63333333333,5176,5390.0
AZ,18,12,1907,0.33945778823158196,36.19013284390837,2.3476664918720505,647.3460021576268,69014.58333333327,4477,6314.0
AZ,19,1,2074,0.25594503378205535,36.45265188042429,2.2989392478302797,530.8300000639828,75602.79999999997,4768,5798.0
AZ,19,2,1712,0.3334380859442227,35.0008956386293,2.2792056074766354,570.8460031365092,59921.53333333336,3902,5497.0
AZ,19,3,1825,0.38819123304891295,57.87414611872154,2.250958904109589,708.4490003142662,105620.31666666681,4108,5787.0
AZ,19,4,1881,0.3552541203288183,65.6138578770158,2.2700691121743755,668.2330003385073,123419.66666666672,4270,6572.0
AZ,19,5,1961,0.3264176452989883,68.59071902090771,2.25395206527282,640.105002431316,134506.40000000002,4420,6673.0
AZ,19,6,1849,0.2605024357903438,67.5368848025961,2.2422931314223904,481.66900377634573,124875.7000000002,4146,6111.0
AZ,19,7,2215,0.31483657134359727,60.82868322046663,2.2248306997742664,697.3630055260679,134735.5333333336,4928,5688.0
AZ,19,8,2600,0.18172615406286452,63.62352564102585,2.2034615384615384,472.48800056344777,165421.1666666672,5729,5233.0
AZ,19,9,2372,0.23236677941987716,66.9632096683532,2.211214165261383,551.1740007839486,158836.7333333338,5245,4867.0
AZ,19,10,2321,0.20494011183039604,66.24335774809724,2.208961654459285,475.6659995583492,153750.8333333337,5127,5655.0
AZ,19,11,1975,0.15998481141879495,64.11817721518992,2.2060759493670887,315.97000255212004,126633.4000000001,4357,5023.0
AZ,19,12,1743,0.2903826738198794,58.95999235035386,2.266207687894435,506.13700046804985,102767.26666666678,3950,6102.0
AZ,20,1,1717,0.16983168300010604,59.70011648223653,2.185206755969715,291.60099971118206,102505.10000000012,3752,5656.0
AZ,20,2,1740,0.26772586233000356,60.37943486590066,2.2264367816091952,465.84300045420616,105060.21666666715,3874,5626.0
AZ,20,3,2522,0.13331443313621807,60.74025244514915,1.732355273592387,336.21900036954196,153186.91666666616,4369,5122.0
AZ,20,4,3337,0.0842115669984566,56.36119268804318,1.5307162121666167,281.0139990738497,188077.3000000001,5108,4265.0
AZ,20,5,3371,0.11575378266329286,61.90612577870111,1.5271432809255414,390.20600135796025,208685.55000000144,5148,5242.0
AZ,20,6,3570,0.1574571426940701,65.36380485527602,1.6425770308123249,562.1219994178302,233348.78333333536,5864,
CA,16,3,4279,0.14214606216405704,117.98171301706006,2.4082729609721896,608.243,504843.75,10305,29981.0
CA,16,4,14221,0.12078890373391547,120.81879849049523,2.375711975247873,1717.7390000000119,1718164.1333333326,33785,31685.0
CA,16,5,13988,0.17405547612238773,155.68502287675147,2.352730912210466,2434.6879999999596,2177722.0999999996,32910,30119.0
CA,16,6,14649,0.1176863267117207,120.73264500420967,2.420574783261656,1723.9869999999967,1768612.5166666675,35459,32365.0
CA,16,7,12664,0.09477834807327845,112.63914508317542,2.413218572331017,1200.2729999999983,1426462.1333333335,30561,32352.0
CA,16,8,16228,0.10725745624845918,109.77271177388882,2.3948114370224305,1740.5739999999957,1781391.5666666676,38863,32221.0
CA,16,9,15954,0.10834862730349734,115.46690171743782,2.3827253353391,1728.5939999999966,1842158.950000003,38014,27800.0
CA,16,10,15877,0.13213591988410986,126.38662005836538,2.3676387226806073,2097.9220000000123,2006640.3666666672,37591,31770.0
CA,16,11,17671,0.1257352158904398,112.51578009167598,2.3893384641503026,2221.8669999999615,1988266.3500000061,42222,34354.0
CA,16,12,14925,0.14975048576213934,123.54593299832506,2.392294807370184,2235.02599999993,1843923.0500000014,35705,33859.0
CA,17,1,14567,0.12793917759318765,120.17047664813168,2.373996018397748,1863.6899999999646,1750523.3333333342,34582,23997.0
CA,17,2,14406,0.15463931695127084,126.09890207783812,2.3663751214771622,2227.7340000000077,1816580.783333336,34090,24050.0
CA,17,3,14680,0.14408576294278033,116.90354109900106,2.387806539509537,2115.179000000015,1716143.9833333355,35053,28940.0
CA,17,4,14572,0.13057644798243162,110.57599048403357,2.3838869063958277,1902.7599999999936,1611313.3333333372,34738,31267.0
CA,17,5,11398,0.176080979018023,143.65983944551672,2.365941393226882,2006.9709988474262,1637434.8499999996,26967,29476.0
CA,17,6,12600,0.12985031747547995,109.33091269841289,2.413809523809524,1636.1140001910476,1377569.5000000023,30414,31176.0
CA,17,7,11003,0.14763446331432103,116.68063709897297,2.4146141961283285,1624.4219998474744,1283837.0499999996,26568,30725.0
CA,17,8,12312,0.13923383682795853,104.49239224604722,2.401559454191033,1714.2469990258255,1286510.3333333333,29568,30898.0
CA,17,9,12465,0.13864404334725064,97.14281855863067,2.4085840352988366,1728.1980003234794,1210885.2333333313,30023,26332.0
CA,17,10,11746,0.14735450411141987,88.1410253135819,2.4421930870083433,1730.8260052927378,1035304.483333333,28686,31213.0
CA,17,11,12059,0.14122655260847433,106.39117395029977,2.4242474500373166,1703.0509979055919,1282971.1666666649,29234,33156.0
CA,17,12,10855,0.1513167203186705,110.34190541992942,2.4275449101796407,1642.542999059168,1197761.3833333338,26351,32638.0
CA,18,1,12364,0.15142114192157008,114.37708131133384,2.4220317049498545,1872.1709987182924,1414158.2333333315,29946,25629.0
CA,18,2,11489,0.16097728263748498,107.1397583195521,2.403951605883889,1849.468000222065,1230928.683333334,27619,24411.0
CA,18,3,14827,0.14213576575896703,99.2689294305432,2.3939434814864775,2107.446998908204,1471860.416666664,35495,28313.0
CA,18,4,13768,0.12258410808825285,95.74844203951173,2.3935212085996516,1687.7380001590652,1318264.5499999975,32954,31240.0
CA,18,5,13595,0.12582000741429966,92.75523354174294,2.4136815005516734,1710.523000797404,1261007.3999999953,32814,29260.0
CA,18,6,12652,0.1325896300318495,94.80375302982371,2.427758457160923,1677.5239991629599,1199457.0833333295,30716,30901.0
CA,18,7,14052,0.1604128950758413,68.66857268241696,2.3896242527754055,2254.122001605722,964930.7833333232,33579,30228.0
CA,18,8,15339,0.12613332020892884,52.591688941042634,2.378838255427342,1934.7589986847595,806703.916666653,36489,30158.0
CA,18,9,14148,0.13735489106030074,32.76626142682088,2.382668928470455,1943.2969987211347,463577.0666666618,33710,25366.0
CA,18,10,14489,0.15185202565492362,33.85450341638501,2.350127683069915,2200.1839997141883,490517.9000000024,34051,31964.0
CA,18,11,12479,0.13909808475162452,35.33992307075884,2.3828031092234956,1735.8049996155225,441006.8999999996,29735,32119.0
CA,18,12,7582,0.25230770243350564,33.04471775257211,2.374043787918755,1912.9969998508398,250545.05000000176,18000,32333.0
CA,19,1,12403,0.14552850107544754,32.96729689053771,2.4104652100298316,1804.9899988387758,408893.3833333392,29897,25741.0
CA,19,2,10745,0.13706514650253354,33.70618892508144,2.4004653327128898,1472.7649991697228,362173.00000000006,25793,23627.0
CA,19,3,11658,0.15631429077625353,57.18195945559523,2.384371247212215,1822.3120018695636,666627.2833333293,27797,28243.0
CA,19,4,11356,0.17874788662068689,66.5915859457557,2.3531172948221206,2029.8610004645202,756214.0500000017,26722,31193.0
CA,19,5,12445,0.2111341103901366,68.16803535556427,2.369385295299317,2627.56400380525,848351.1999999974,29487,28595.0
CA,19,6,10044,0.17907925143088985,70.23746847205588,2.378036638789327,1798.6720013718577,705465.1333333292,23885,30500.0
CA,19,7,9298,0.21283232875994867,67.4999569799955,2.373628737362874,1978.9149928100028,627614.5999999982,22070,30789.0
CA,19,8,13714,0.12801560453986421,72.58802318798715,2.2568907685576782,1755.6060006596977,995472.1500000558,30951,30448.0
CA,19,9,31522,0.043686917072801694,76.21098280566324,2.105830848296428,1377.098999968855,2402322.6000001165,66380,26237.0
CA,19,10,35336,0.031650979170282444,77.5739647007813,2.0922571881367444,1118.4189999611003,2741153.6166668083,73932,32048.0
CA,19,11,19833,0.045473554161650304,76.13011731290219,2.160893460394292,901.8769996880105,1509888.616666789,42857,31617.0
CA,19,12,35008,0.03913831121325578,78.74939251980341,2.1047474862888484,1370.1539989536584,2756858.7333332775,73683,32425.0
CA,20,1,29392,0.0304557362450473,76.80796135002144,2.086622210125204,895.1549997144302,2257539.59999983,61330,24653.0
CA,20,2,28118,0.03217725293397151,78.59076747991054,2.103954762074116,904.7599979974109,2209815.2000001245,59159,23985.0
CA,20,3,28160,0.045196306800621686,71.3742696496248,2.0726917613636364,1272.7279995055067,2009899.4333334342,58367,22454.0
CA,20,4,21960,0.04554239525882479,62.49481026108042,2.0437158469945356,1000.1109998837924,1372386.033333326,44880,18389.0
CA,20,5,21296,0.0656136363509079,68.01309635612381,2.081611570247934,1397.3079997289346,1448406.9000000127,44330,21361.0
CA,20,6,24634,0.09990228948032051,69.25557698032058,2.1221076560850856,2460.9929990582154,1706041.8833332174,52276,
CO,16,6,63,2.088079365079364,361.9047619047619,2.9365079365079363,131.54899999999995,22800.0,185,4337.0
CO,16,7,194,1.7604845360824737,360.0323024054983,2.8350515463917527,341.5339999999999,69846.26666666666,550,4474.0
CO,16,8,233,1.423077253218884,360.51502145922746,2.781115879828326,331.577,84000.0,648,4890.0
CO,16,9,217,1.2205760368663592,360.2764976958525,2.6912442396313363,264.86499999999995,78180.0,584,4518.0
CO,16,10,217,1.1177465437788021,362.4301075268818,2.8110599078341014,242.55100000000007,78647.33333333334,610,4596.0
CO,16,11,201,0.8665074626865673,363.5878109452736,2.711442786069652,174.16800000000003,73081.15,545,3992.0
CO,16,12,199,1.5370552763819092,360.5075376884422,2.8040201005025125,305.8739999999999,71741.0,558,4393.0
CO,17,1,178,1.4456573033707876,360.0000936329588,2.741573033707865,257.32700000000017,64080.01666666667,488,4429.0
CO,17,2,133,1.36421052631579,360.44423558897245,2.8496240601503757,181.44000000000005,47939.083333333336,379,3985.0
CO,17,3,138,2.1894492753623194,360.97838164251203,2.847826086956522,302.14400000000006,49815.01666666666,393,4863.0
CO,17,4,170,1.7726117647058832,360.00068627450986,2.9529411764705884,301.34400000000016,61200.116666666676,502,4561.0
CO,17,5,218,0.8426192660550459,365.0168960244649,2.6192660550458715,183.691,79573.68333333335,571,4553.0
CO,17,6,207,1.598236714975845,360.4330112721417,2.9082125603864735,330.8349999999999,74609.63333333333,602,4393.0
CO,17,7,253,1.0426403177981067,229.19031620553363,2.656126482213439,263.788000402921,57985.15000000001,672,4466.0
CO,17,8,1209,0.17315301864289667,69.03757926661149,2.368899917287014,209.34199953926208,83466.43333333329,2864,4922.0
CO,17,9,1179,0.1535462260166994,78.57264631043262,2.357930449533503,181.03100047368858,92637.15000000005,2780,4490.0
CO,17,10,1281,0.2706323189021058,98.94985688264372,2.4082747853239654,346.6800005135976,126754.7666666666,3085,4555.0
CO,17,11,1068,0.24307865147410335,101.13492509363293,2.465355805243446,259.6079997743424,108012.09999999996,2633,4054.0
CO,17,12,1058,0.6339092572792713,96.57104599873975,2.4139886578449907,670.675994201469,102172.16666666666,2554,4479.0
CO,18,1,1139,0.38712467029707215,100.36646180860406,2.46180860403863,440.93499946836516,114317.40000000002,2804,4740.0
CO,18,2,1147,0.18244463742424427,81.46935483870969,2.3888404533565826,209.2639991256082,93445.35000000002,2740,3869.0
CO,18,3,1086,0.35741528547183693,98.729650092081,2.4300184162062615,388.1530000224149,107220.39999999997,2639,5062.0
CO,18,4,956,0.6866056477450063,72.67620292887031,2.3891213389121337,656.394999244226,69478.45000000001,2284,4817.0
CO,18,5,1230,0.25592439011573737,97.80380758807588,2.396747967479675,314.786999842357,120298.68333333333,2948,4610.0
CO,18,6,1004,0.3453476086383099,95.81786188579017,2.4342629482071714,346.72899907286313,96201.13333333333,2444,4408.0
CO,18,7,866,0.3560935328561417,66.67857967667439,2.468822170900693,308.3769994534187,57743.65000000002,2138,4479.0
CO,18,8,1249,0.44235948771196243,63.395676541232994,2.4355484387510007,552.5070001522411,79181.20000000001,3042,5007.0
CO,18,9,1290,0.3201100785303234,31.32627906976745,2.415503875968992,412.9420013041172,40410.90000000001,3116,4521.0
CO,18,10,1323,0.6962683290742906,33.964336104812354,2.5903250188964475,921.1629993652864,44934.816666666746,3427,4602.0
CO,18,11,1531,0.5300352716174792,32.839767036795145,2.5780535597648595,811.4840008463607,50277.68333333337,3947,3869.0
CO,18,12,1302,0.7335645165481572,35.01335125448027,2.7096774193548385,955.1010005457008,45587.38333333331,3528,4464.0
CO,19,1,1749,0.465580331947506,32.99538784067091,2.547741566609491,814.3000005761879,57708.93333333342,4456,4705.0
CO,19,2,1301,0.5047048426733323,34.439251857545486,2.554957724827056,656.6210003180053,44805.466666666674,3324,3895.0
CO,19,3,1330,0.7777413487792191,51.77842105263158,2.687218045112782,1034.3959938763614,68865.3,3574,4675.0
CO,19,4,1490,0.5627617439464018,62.708076062639805,2.612751677852349,838.5149984801386,93435.03333333331,3893,4811.0
CO,19,5,1651,0.708550573994781,59.40235210983221,2.619624470018171,1169.8169976653835,98073.28333333298,4325,4528.0
CO,19,6,1427,0.8388997890101215,56.750490539593564,2.7042747021723894,1197.1099989174434,80982.95000000001,3859,4346.0
CO,19,7,1449,0.7012415465817451,64.34835518748567,2.674258109040718,1016.0990009969486,93240.76666666674,3875,4624.0
CO,19,8,1559,0.589624118110833,64.87571092580711,2.625400898011546,919.2240001347886,101141.23333333328,4093,5068.0
CO,19,9,1147,0.9242345219710385,69.48724208079032,2.6059285091543156,1060.0969967007811,79701.8666666665,2989,4646.0
CO,19,10,1681,0.7944110650703774,64.0293079516161,2.6055919095776323,1335.4050003833045,107633.26666666668,4380,4644.0
