Code,Abbrev,16.apr,16.aug,16.dec,16.feb,16.jan,16.jul,16.jun,16.mar,16.may,16.nov,16.oct,16.sep,17.apr,17.aug,17.dec,17.feb,17.jan,17.jul,17.jun,17.mar,17.may,17.nov,17.oct,17.sep,18.apr,18.aug,18.dec,18.feb,18.jan,18.jul,18.jun,18.mar,18.may,18.nov,18.oct,18.sep,19.apr,19.aug,19.dec,19.feb,19.jan,19.jul,19.jun,19.mar,19.may,19.nov,19.oct,19.sep,20.apr,20.feb,20.jan,20.mar,20.may
PA,Pa.,8370,9361,8214,6921,9582,9039,8495,6864,8346,9194,9108,9640,8058,9435,8367,7271,9224,9196,8638,7077,8443,9264,9056,9812,7706,9639,8293,7275,8478,9041,9157,6620,8458,9508,9037,9860,8142,9746,8337,7382,8723,8812,9118,6458,8593,9393,9473,9832,6561,7512,8420,6943,4647
RI,R.I.,595,735,573,419,616,703,687,503,611,568,942,833,588,740,614,431,605,706,723,507,611,616,982,866,575,816,592,427,634,714,772,489,609,637,1051,874,574,794,595,443,641,717,721,480,630,595,1018,854,484,418,606,460,381
SC,S.C.,4825,4841,4302,4117,4201,4767,4777,4100,4650,4255,4424,4690,4831,4829,4346,4266,4254,4845,4931,4223,4767,4498,4343,4752,4778,4912,4387,4208,4382,4911,5052,4148,4786,4853,4339,4878,4855,5100,4470,4447,4327,4869,5095,4111,4873,4731,4690,4882,4122,4667,4784,4217,3196
SD,S.D.,810,987,707,610,736,918,879,636,799,800,830,936,779,930,700,567,704,908,847,622,774,772,792,906,751,980,692,611,747,937,848,614,762,793,801,926,758,1038,687,594,748,945,841,589,777,808,848,934,698,601,765,648,574
TN,Tenn.,6767,7227,6020,6126,6299,7016,6650,5636,6633,6451,6253,6495,6907,7393,6233,6302,6490,7295,6918,5968,6753,6579,6413,6797,6551,7359,6095,5914,6552,7105,6726,5385,6564,6599,6131,6592,7052,7776,6416,6227,6452,7395,7245,5512,7150,6803,6781,7012,5842,7034,7153,5508,4467
TX,Tex.,22892,23381,21517,20597,20028,22140,22929,19631,21801,22574,21962,22411,24062,22950,22417,21095,20727,22511,23867,20923,22487,23512,22796,23183,24757,24071,22718,21383,21549,23616,24883,20741,23580,23845,22874,24889,23934,24479,22721,22072,21850,23137,24210,20954,23443,24702,23057,24689,20005,22528,22751,22078,14722
UT,Utah,2608,2699,2373,2237,2240,2561,2535,2117,2582,2535,2540,2893,2794,2839,2532,2328,2431,2723,2741,2236,2725,2718,2671,3080,2797,2960,2561,2605,2512,2798,2812,2312,2780,2878,2716,3113,2734,2933,2515,2626,2513,2706,2705,2247,2818,2818,2726,3056,2328,2537,2584,2313,1818
VT,Vt.,578,740,515,657,552,620,604,552,497,616,635,720,593,761,535,611,567,635,624,565,511,642,649,749,612,747,555,524,583,638,630,520,529,656,636,743,638,757,554,528,604,635,627,508,543,666,642,740,454,561,573,512,279
VA,Va.,7151,7602,7053,5970,6873,7437,7411,5928,7147,7324,7031,7644,7068,7509,7003,6413,6911,7463,7519,6210,7274,7327,7042,7697,6657,7676,6914,6766,6922,7360,7824,5688,7310,7455,6728,7738,6885,7848,6978,6946,6787,7264,7870,5473,7449,7426,7030,7745,5642,6798,7378,5639,4170
WA,Wash.,5096,5718,4836,4181,4562,5737,5702,4466,5228,4894,5702,5660,5060,5799,4757,4113,4607,5704,5710,4261,5070,5015,5668,5732,5186,5841,4906,4383,4703,5729,5871,4474,5077,5302,5647,5603,5245,5816,4811,4586,4819,5881,6041,4288,5404,5143,5721,5626,3943,4293,4813,4712,3257
WV,W.Va.,1978,1769,2001,1364,1623,1550,1295,1346,1613,1790,1616,1701,1969,1754,2067,1472,1632,1575,1353,1412,1614,1855,1631,1749,1850,1795,2034,1406,1675,1598,1386,1279,1640,1895,1560,1765,1812,1748,1878,1433,1656,1514,1320,1194,1614,1722,1492,1641,1478,1397,1616,1224,992
WI,Wis.,5414,5969,4997,4643,4753,5770,5786,4463,5379,5376,5321,5811,5518,6008,4961,4653,4593,5901,5851,4554,5456,5369,5332,5794,5598,6297,4993,4873,5026,6038,5974,4440,5234,5567,5448,5978,5492,6403,5013,4746,5054,5932,5998,4201,5480,5680,5535,6086,4459,4934,5031,4634,3722
WY,Wyo.,691,983,758,655,729,893,834,621,747,861,880,958,694,966,756,618,707,876,817,586,738,859,875,983,698,968,702,653,717,844,813,578,742,867,878,971,701,1024,770,662,724,879,855,640,811,938,927,972,687,738,795,687,636
